kernel,d2h_bytes,d2h_time_cpu,d2h_time_gpu,exec_time_cpu,exec_time_gpu,global_work_size,h2d_bytes,h2d_time_cpu,h2d_time_gpu,local_work_size,total_time_cpu,total_time_gpu,work_dim,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79
Convolution2D_kernel,1048576.0,0.0019078254699707031,0.0017256736755371094,0.0027814388275146486,0.00014314651489257812,1048576,1048576.0,0.0018795490264892577,0.0008077144622802735,1024,0.006912374496459961,0.0029921531677246094,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,4096.0,3.62396240234375e-06,5.435943603515625e-06,6.98089599609375e-05,3.533363342285156e-05,4096,4096.0,3.504753112792969e-05,3.719329833984375e-06,256,0.00045843124389648436,0.00010614395141601562,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,262144.0,0.0004421710968017578,0.00016350746154785155,0.00023899078369140624,7.719993591308594e-05,262144,262144.0,0.0005610942840576172,0.00017271041870117187,64,0.0015689373016357423,0.0007086753845214844,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,262144.0,0.0005196571350097656,0.00016832351684570312,0.0002736568450927734,5.016326904296875e-05,262144,262144.0,0.0005582332611083985,0.00017290115356445314,256,0.0016778469085693359,0.0006996631622314453,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,4096.0,4.00543212890625e-06,5.245208740234375e-06,0.00015325546264648436,3.376007080078125e-05,4096,4096.0,3.2901763916015625e-05,3.7670135498046877e-06,16,0.0005372047424316406,0.0001018524169921875,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,262144.0,0.00043540000915527345,0.00016117095947265625,0.0002585411071777344,0.00016951560974121094,262144,262144.0,0.0005510330200195312,0.00017290115356445314,16,0.0015818119049072266,0.0008210182189941406,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,1048576.0,0.0017753124237060546,0.0017323017120361329,0.0017071247100830078,0.000678396224975586,1048576,1048576.0,0.0016191959381103515,0.0008051872253417968,16,0.005449914932250976,0.0035205841064453124,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,1024.0,1.6689300537109375e-06,3.337860107421875e-06,3.714561462402344e-05,3.3521652221679686e-05,1024,1024.0,1.4543533325195312e-05,1.7642974853515626e-06,256,0.0004001140594482422,0.00010199546813964844,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,1024.0,1.5735626220703124e-06,3.337860107421875e-06,6.113052368164062e-05,3.333091735839844e-05,1024,1024.0,9.012222290039062e-06,1.811981201171875e-06,16,0.0004047393798828125,0.00010447502136230468,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Convolution2D_kernel,16384.0,1.3065338134765624e-05,1.4400482177734375e-05,0.0001018524169921875,3.523826599121094e-05,16384,16384.0,8.3160400390625e-05,1.2254714965820312e-05,1024,0.0005666732788085938,0.00013246536254882813,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,4.0,4.0,77.0,307.0,4.0,12.0,0.0,24.0,9.0,84.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
